wrapper  | --> Wrapper Started as Daemon
jvm 1    | 2018-07-16 18:16:24,626-0600 WARN  [jetty-main-1]  org.sonatype.security.configuration.source.FileSecurityConfigurationSource - No configuration file in place, copying the default one and continuing with it.
jvm 1    | 2018-07-16 18:16:24,727-0600 INFO  [jetty-main-1]  org.sonatype.security.configuration.source.FileSecurityConfigurationSource - Loading Security configuration from /home/charlie/programs/nexus-2.14.9-01/../sonatype-work/nexus/conf/security-configuration.xml
jvm 1    | 2018-07-16 18:16:24,896-0600 INFO  [jetty-main-1]  org.sonatype.sisu.ehcache.CacheManagerComponentImpl - Loading configuration from: file:/home/charlie/programs/nexus-2.14.9-01/nexus/WEB-INF/classes/ehcache.xml
jvm 1    | 2018-07-16 18:16:25,436-0600 INFO  [jetty-main-1]  com.thoughtworks.xstream.XStream - Version: 1.4.6-SONATYPE-03, white-list support available
jvm 1    | 2018-07-16 18:16:25,584-0600 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered default repository types.
jvm 1    | 2018-07-16 18:16:25,702-0600 INFO  [jetty-main-1]  org.sonatype.nexus.events.EventSubscriberHost - Initialized
jvm 1    | 2018-07-16 18:16:25,706-0600 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - 
jvm 1    | -------------------------------------------------
jvm 1    | 
jvm 1    | Initializing Nexus Repository Manager OSS 2.14.9-01
jvm 1    | 
jvm 1    | -------------------------------------------------
jvm 1    | 2018-07-16 18:16:25,706-0600 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Activating locally installed plugins...
jvm 1    | 2018-07-16 18:16:38,951-0600 INFO  [jetty-main-1]  com.sun.jersey.server.impl.application.WebApplicationImpl - Initiating Jersey application, version 'Jersey: 1.17.1 02/28/2013 12:47 PM'
jvm 1    | 2018-07-16 18:16:48,296-0600 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.bcprov.CryptoPlugin - Unlimited strength JCE policy detected
jvm 1    | 2018-07-16 18:16:51,752-0600 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.Repository:rubygems-proxy).
jvm 1    | 2018-07-16 18:16:51,752-0600 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.Repository:rubygems-hosted).
jvm 1    | 2018-07-16 18:16:51,752-0600 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.GroupRepository:rubygems-group).
jvm 1    | 2018-07-16 18:16:52,603-0600 INFO  [jetty-main-1]  org.sonatype.nexus.kazuki.KazukiPlugin - Kazuki version: 0.1.8
jvm 1    | 2018-07-16 18:16:56,313-0600 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.Repository:nuget-proxy).
jvm 1    | 2018-07-16 18:16:56,314-0600 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.ShadowRepository:nuget-shadow).
jvm 1    | 2018-07-16 18:16:56,314-0600 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.GroupRepository:nuget-group).
jvm 1    | 2018-07-16 18:16:56,504-0600 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.Repository:npm-proxy).
jvm 1    | 2018-07-16 18:16:56,504-0600 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.Repository:npm-hosted).
jvm 1    | 2018-07-16 18:16:56,504-0600 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.GroupRepository:npm-group).
jvm 1    | 2018-07-16 18:16:58,612-0600 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.WebSiteRepository:site).
jvm 1    | 2018-07-16 18:16:59,053-0600 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-rrb-plugin:2.14.9-01" was successful.
jvm 1    | 2018-07-16 18:16:59,075-0600 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-archetype-plugin:2.14.9-01" was successful.
jvm 1    | 2018-07-16 18:16:59,075-0600 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-atlas-plugin:2.14.9-01" was successful.
